user;waktu;Sentimen;lokasi;komentar
Agus SMA;setahun lalu;Positif;Goa Soekarno;Amazing, salah satu destinasi wisata andalan Sumenep, Madura. Dengan harga tiket masuk yang murah, anda mendapat banyak benefit berupa pemandangan yang indah dan suasana yang nyaman di dalam goa. Ayooooo, jangan lewatkan kalau anda ke Sumenep.
St. Qurratul Aini;setahun lalu;Negatif;Goa Soekarno;Tiket masuk per orang 15 ribu, ada kafe di dalam goa, parkir kurang proper.
abdulhamid 1996;setahun lalu;Positif;Goa Soekarno;gua nya bagus sekali
Khansa hlymi azighah;setahun lalu;Positif;Goa Soekarno;Keren dan bagus juga cantik dalam nya indah
Adhi Agus Oktaviana;setahun lalu;Positif;Goa Soekarno;Gua wisata terbaik di Madura..
Smael Golden;setahun lalu;Positif;Goa Soekarno;wo mantap
Senpai;setahun lalu;Negatif;Goa Soekarno;Kurang perawatan saja
Davidson Davidson;setahun lalu;Positif;Goa Soekarno;"Bagus dan bersih
Layanan bagus"
luckman hakiem;setahun lalu;Positif;Goa Soekarno;Goanya Indah nan eksotik
Yan Pick;setahun lalu;Positif;Goa Soekarno;Bagus
Rafiqah Nur Saadah;setahun lalu;Positif;Goa Soekarno;Goa cantik
Abim Habibi;setahun lalu;Positif;Goa Soekarno;Hebat dan keren
agus efendi;setahun lalu;Positif;Goa Soekarno;Penasaran
Wariatus Solawati;setahun lalu;Positif;Goa Soekarno;Aman untuk anak-anak
